Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
deit_base_patch16_384.fb_in1k,82.461,82.734,82.539,82.578
deit_small_distilled_patch16_224.fb_in1k,78.438,77.5,77.93,77.956
deit_small_patch16_224.fb_in1k,76.641,76.445,76.641,76.576
deit_tiny_distilled_patch16_224.fb_in1k,75.742,76.25,76.719,76.237
deit_tiny_patch16_224.fb_in1k,73.828,73.477,74.531,73.945
densenet121.ra_in1k,78.242,78.242,77.93,78.138
densenet121.tv_in1k,78.047,78.75,78.203,78.333
densenet161.tv_in1k,79.336,80.078,79.492,79.635
densenet169.tv_in1k,79.141,79.727,79.023,79.297
densenet201.tv_in1k,80.391,80.508,80.664,80.521
densenetblur121d.ra_in1k,78.945,79.219,79.766,79.31
dla102.in1k,78.203,78.32,78.789,78.437
dla169.in1k,77.734,78.242,78.633,78.203
dla34.in1k,75.078,75.195,75.859,75.377
dla46_c.in1k,72.891,74.766,73.828,73.828
dla46x_c.in1k,75.0,74.336,75.43,74.922
dla60.in1k,77.383,78.008,78.086,77.826
dla60x_c.in1k,75.586,76.484,76.602,76.224
dpn107.mx_in1k,76.836,76.523,76.719,76.693
dpn131.mx_in1k,77.305,77.344,77.305,77.318
dpn68.mx_in1k,74.453,74.297,74.727,74.492
dpn68b.mx_in1k,76.328,76.289,76.016,76.211
dpn92.mx_in1k,76.211,75.898,75.625,75.911
dpn98.mx_in1k,75.469,75.43,75.664,75.521
eca_nfnet_l0.ra2_in1k,81.992,80.82,81.445,81.419
eca_nfnet_l1.ra2_in1k,83.945,83.398,84.375,83.906
ecaresnet50t.a2_in1k,80.156,80.508,80.156,80.273
edgenext_xx_small.in1k,72.852,73.398,73.008,73.086
efficientformer_l1.snap_dist_in1k,77.266,76.641,77.148,77.018
efficientformer_l3.snap_dist_in1k,79.219,78.711,78.906,78.945
efficientformer_l7.snap_dist_in1k,80.195,80.977,80.312,80.495
efficientformerv2_l.snap_dist_in1k,73.672,74.844,74.336,74.284
efficientformerv2_s0.snap_dist_in1k,73.125,72.109,73.008,72.747
efficientformerv2_s1.snap_dist_in1k,70.82,71.68,69.375,70.625
efficientformerv2_s2.snap_dist_in1k,73.984,73.906,74.805,74.232
efficientnet_b0.ra_in1k,76.953,76.875,77.148,76.992
efficientnet_b1.ft_in1k,77.93,78.125,78.594,78.216
