task_key,task,model,family,lp_avg,ft_avg,delta_ft_minus_lp,lp_run_range,ft_run_range,lp_run_std,ft_run_std,imagenet_top1,imagenet_top5,param_count_m,img_size
vpt1_v18_depth,VPT1 v18 Depth,deit_tiny_distilled_patch16_224.fb_in1k,deit,76.237,90.586,14.349000000000004,0.9769999999999897,0.6640000000000015,0.3989644929898691,0.27249994903159647,74.538,91.898,5.91,224
vpt1_v18_depth,VPT1 v18 Depth,deit_tiny_patch16_224.fb_in1k,deit,73.945,90.495,16.55000000000001,1.054000000000002,0.6640000000000015,0.43821937682195555,0.28923961615856686,72.19,91.1,5.72,224
vpt1_v18_depth,VPT1 v18 Depth,densenet121.ra_in1k,densenet121.ra,78.138,87.747,9.608999999999995,0.3119999999999976,1.5630000000000024,0.14707821048680075,0.6383501303273071,75.574,92.648,7.98,224
vpt1_v18_depth,VPT1 v18 Depth,densenet121.tv_in1k,densenet121.tv,78.333,88.06,9.727000000000004,0.703000000000003,0.546999999999997,0.30143250580446007,0.22628055349253584,74.75,92.158,7.98,224
vpt1_v18_depth,VPT1 v18 Depth,densenet161.tv_in1k,densenet161.tv,79.635,89.622,9.986999999999995,0.7420000000000044,1.1319999999999908,0.319425873856345,0.4773966438461333,77.384,93.656,28.68,224
vpt1_v18_depth,VPT1 v18 Depth,densenet169.tv_in1k,densenet169.tv,79.297,88.542,9.245000000000005,0.7040000000000077,0.19499999999999318,0.3078484475625432,0.09192388155424797,75.922,92.976,14.15,224
vpt1_v18_depth,VPT1 v18 Depth,densenet201.tv_in1k,densenet201.tv,80.521,88.906,8.385000000000005,0.27299999999999613,1.2109999999999985,0.11183022847155288,0.49515721409130836,77.284,93.48,20.01,224
vpt1_v18_depth,VPT1 v18 Depth,densenetblur121d.ra_in1k,densenetblur121d.ra,79.31,86.706,7.396000000000001,0.8210000000000122,0.625,0.34129264080356364,0.2654760922485391,76.574,93.188,8.0,224
vpt1_v18_depth,VPT1 v18 Depth,dla102.in1k,dla102.in1k,78.437,86.836,8.399000000000001,0.5859999999999985,0.9770000000000039,0.25321181295947204,0.3998107885821339,78.016,93.952,33.27,224
vpt1_v18_depth,VPT1 v18 Depth,dla169.in1k,dla169.in1k,78.203,88.255,10.051999999999992,0.8990000000000009,1.1329999999999956,0.36804981546886717,0.4648232639043194,78.702,94.334,53.39,224
vpt1_v18_depth,VPT1 v18 Depth,dla34.in1k,dla34.in1k,75.377,84.635,9.25800000000001,0.7809999999999917,2.1099999999999994,0.3439227949538783,0.91651162325175,74.632,92.052,15.74,224
vpt1_v18_depth,VPT1 v18 Depth,dla46_c.in1k,dla46,73.828,78.919,5.090999999999994,1.875,0.7420000000000044,0.7654655809084793,0.3257261972202365,64.88,86.33,1.3,224
vpt1_v18_depth,VPT1 v18 Depth,dla46x_c.in1k,dla46x,74.922,79.076,4.153999999999996,1.0940000000000083,4.9609999999999985,0.4500162960012332,2.08331471991685,66.008,86.946,1.07,224
