Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
beit3_base_patch16_224.in22k_ft_in1k,56.055,56.797,57.07,56.641
beit3_large_patch16_224.in22k_ft_in1k,57.148,56.914,57.422,57.161
beit3_large_patch16_224.indomain_in22k_ft_in1k,56.094,55.391,55.312,55.599
beit_base_patch16_224.in22k_ft_in22k_in1k,59.219,57.148,57.461,57.943
beit_base_patch16_384.in22k_ft_in22k_in1k,57.383,57.695,57.969,57.682
beit_large_patch16_224.in22k_ft_in22k_in1k,58.75,57.344,56.484,57.526
beit_large_patch16_384.in22k_ft_in22k_in1k,57.773,58.281,57.891,57.982
beit_large_patch16_512.in22k_ft_in22k_in1k,58.789,60.312,58.867,59.323
beitv2_base_patch16_224.in1k_ft_in1k,54.414,54.766,55.898,55.026
beitv2_base_patch16_224.in1k_ft_in22k_in1k,56.406,58.203,56.25,56.953
beitv2_large_patch16_224.in1k_ft_in1k,58.633,59.57,58.516,58.906
beitv2_large_patch16_224.in1k_ft_in22k_in1k,60.742,58.789,60.352,59.961
caformer_m36.sail_in1k,52.383,50.664,52.773,51.94
caformer_m36.sail_in22k_ft_in1k,57.578,58.242,60.508,58.776
caformer_s18.sail_in1k,54.688,53.438,55.0,54.375
caformer_s18.sail_in22k_ft_in1k,57.305,57.852,56.602,57.253
caformer_s36.sail_in1k,51.992,54.219,54.492,53.568
caformer_s36.sail_in22k_ft_in1k,60.156,58.633,58.984,59.258
cait_m36_384.fb_dist_in1k,56.406,55.391,56.484,56.094
cait_m48_448.fb_dist_in1k,55.937,53.945,56.289,55.39
cait_s24_224.fb_dist_in1k,55.156,56.484,57.227,56.289
cait_s36_384.fb_dist_in1k,57.266,52.852,53.789,54.636
cait_xxs24_224.fb_dist_in1k,56.406,54.688,53.789,54.961
cait_xxs36_224.fb_dist_in1k,54.609,53.164,54.219,53.997
coat_lite_medium.in1k,54.102,54.648,56.484,55.078
coat_lite_mini.in1k,56.523,56.133,54.883,55.846
coat_lite_small.in1k,53.086,52.773,51.523,52.461
coat_lite_tiny.in1k,54.766,55.547,55.078,55.13
coat_mini.in1k,54.297,52.227,53.633,53.386
coat_small.in1k,55.352,54.062,55.273,54.896
coat_tiny.in1k,52.422,54.414,54.062,53.633
coatnet_0_rw_224.sw_in1k,55.0,54.375,54.336,54.57
coatnet_1_rw_224.sw_in1k,56.25,57.188,57.578,57.005
coatnet_bn_0_rw_224.sw_in1k,55.195,53.867,54.023,54.362
coatnet_nano_rw_224.sw_in1k,55.391,55.117,51.758,54.089
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,57.148,58.086,56.68,57.305
coatnet_rmlp_1_rw_224.sw_in1k,55.391,55.117,53.633,54.714
coatnet_rmlp_2_rw_224.sw_in1k,56.328,56.367,55.82,56.172
coatnet_rmlp_nano_rw_224.sw_in1k,54.648,53.359,52.266,53.424
convformer_s18.sail_in1k_384,55.195,56.719,57.969,56.628
convit_base.fb_in1k,55.781,55.352,55.117,55.417
convit_small.fb_in1k,52.852,53.047,54.453,53.451
convit_tiny.fb_in1k,53.008,53.047,55.273,53.776
convmixer_1536_20.in1k,55.352,55.195,55.703,55.417
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,58.594,60.938,58.984,59.505
convnext_base.dinov3_lvd1689m,54.883,56.055,53.984,54.974
convnext_base.fb_in22k_ft_in1k,54.922,55.195,55.898,55.338
convnext_base.fb_in22k_ft_in1k_384,57.773,57.578,56.406,57.252
convnext_large.dinov3_lvd1689m,55.352,56.68,56.641,56.224
convnext_large.fb_in22k_ft_in1k,55.117,56.328,55.859,55.768
convnext_large.fb_in22k_ft_in1k_384,59.062,57.383,57.578,58.008
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,59.688,59.336,58.828,59.284
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,60.781,60.078,60.273,60.377
convnext_nano.in12k_ft_in1k,53.281,54.883,53.359,53.841
convnext_small.dinov3_lvd1689m,58.203,56.914,58.398,57.838
convnext_small.fb_in1k,55.391,54.414,55.937,55.247
convnext_small.fb_in22k_ft_in1k,55.898,55.859,54.805,55.521
convnext_small.in12k_ft_in1k_384,56.68,57.031,57.148,56.953
convnext_tiny.fb_in22k_ft_in1k,58.047,56.836,55.312,56.732
convnext_xlarge.fb_in22k_ft_in1k_384,60.312,59.062,60.312,59.895
convnext_xxlarge.clip_laion2b_soup_ft_in1k,60.82,60.352,59.453,60.208
convnextv2_atto.fcmae_ft_in1k,52.656,54.883,51.641,53.06
convnextv2_base.fcmae_ft_in22k_in1k,56.914,56.133,57.734,56.927
convnextv2_base.fcmae_ft_in22k_in1k_384,58.789,57.539,57.461,57.93
convnextv2_huge.fcmae_ft_in22k_in1k_512,59.883,60.117,60.352,60.117
convnextv2_large.fcmae_ft_in1k,55.703,56.328,55.898,55.976
convnextv2_large.fcmae_ft_in22k_in1k,57.969,58.242,57.812,58.008
convnextv2_large.fcmae_ft_in22k_in1k_384,57.93,57.07,58.945,57.982
convnextv2_nano.fcmae_ft_in22k_in1k,54.688,56.016,54.531,55.078
convnextv2_tiny.fcmae_ft_in22k_in1k,55.039,55.195,56.055,55.43
crossvit_15_240.in1k,55.156,53.984,52.227,53.789
crossvit_18_240.in1k,52.344,52.305,53.047,52.565
crossvit_9_240.in1k,54.648,55.0,53.086,54.245
crossvit_tiny_240.in1k,52.109,53.945,53.32,53.125
davit_base.msft_in1k,55.898,52.305,51.875,53.359
davit_small.msft_in1k,54.414,54.023,55.703,54.713
davit_tiny.msft_in1k,55.664,55.273,55.391,55.443
deit3_base_patch16_224.fb_in1k,56.328,56.797,55.117,56.081
deit3_base_patch16_224.fb_in22k_ft_in1k,56.055,57.344,57.188,56.862
deit3_huge_patch14_224.fb_in1k,53.242,53.516,55.078,53.945
deit3_large_patch16_224.fb_in1k,56.836,57.109,57.695,57.213
deit3_medium_patch16_224.fb_in1k,51.953,55.664,53.789,53.802
deit3_medium_patch16_224.fb_in22k_ft_in1k,54.805,57.031,55.742,55.859
deit3_small_patch16_224.fb_in1k,55.82,55.117,56.719,55.885
deit3_small_patch16_224.fb_in22k_ft_in1k,56.523,55.273,55.0,55.599
deit_base_distilled_patch16_224.fb_in1k,54.531,55.117,54.531,54.726
deit_base_patch16_224.fb_in1k,54.453,54.102,54.375,54.31
deit_base_patch16_384.fb_in1k,54.883,56.016,56.484,55.794
deit_small_distilled_patch16_224.fb_in1k,52.344,53.164,54.766,53.425
deit_small_patch16_224.fb_in1k,51.992,53.906,54.453,53.45
deit_tiny_distilled_patch16_224.fb_in1k,54.883,54.219,53.203,54.102
deit_tiny_patch16_224.fb_in1k,52.617,51.484,54.453,52.851
densenet121.ra_in1k,52.031,54.727,56.055,54.271
densenet121.tv_in1k,54.219,53.945,54.844,54.336
densenet161.tv_in1k,52.07,51.68,52.461,52.07
densenet169.tv_in1k,53.75,52.969,54.141,53.62
densenet201.tv_in1k,54.258,53.516,54.688,54.154
densenetblur121d.ra_in1k,53.203,54.102,53.594,53.633
dla102.in1k,52.266,53.555,52.852,52.891
dla169.in1k,54.023,53.008,54.648,53.893
dla34.in1k,53.906,53.867,53.672,53.815
dla46_c.in1k,53.789,55.078,54.531,54.466
dla46x_c.in1k,52.305,52.969,54.141,53.138
dla60.in1k,54.336,54.688,53.789,54.271
dla60x_c.in1k,53.633,56.758,52.734,54.375
dpn107.mx_in1k,55.547,55.625,56.719,55.964
dpn131.mx_in1k,54.57,55.781,55.078,55.143
dpn68.mx_in1k,54.062,53.203,54.883,54.049
dpn68b.mx_in1k,51.836,51.602,51.211,51.55
dpn92.mx_in1k,53.672,57.891,54.023,55.195
dpn98.mx_in1k,54.141,55.0,54.961,54.701
eca_nfnet_l0.ra2_in1k,55.078,53.75,54.648,54.492
eca_nfnet_l1.ra2_in1k,54.531,53.359,53.125,53.672
ecaresnet50t.a2_in1k,53.594,53.359,52.969,53.307
edgenext_xx_small.in1k,52.109,52.422,52.5,52.344
efficientformer_l1.snap_dist_in1k,51.68,51.68,54.219,52.526
efficientformer_l3.snap_dist_in1k,55.937,56.602,55.273,55.937
efficientformer_l7.snap_dist_in1k,56.211,54.336,55.039,55.195
efficientformerv2_l.snap_dist_in1k,53.125,51.992,53.867,52.995
efficientformerv2_s0.snap_dist_in1k,56.523,54.688,55.742,55.651
efficientformerv2_s1.snap_dist_in1k,52.5,49.961,52.656,51.706
efficientformerv2_s2.snap_dist_in1k,51.797,50.117,51.719,51.211
efficientnet_b0.ra_in1k,55.078,55.391,54.141,54.87
efficientnet_b1.ft_in1k,55.0,54.883,55.742,55.208
efficientnet_b1.ra4_e3600_r240_in1k,54.18,53.516,54.219,53.972
efficientnet_b2.ra_in1k,56.289,57.031,57.148,56.823
efficientnet_b3.ra2_in1k,55.82,56.797,55.078,55.898
efficientnet_b4.ra2_in1k,55.078,55.117,54.531,54.909
efficientnet_es.ra_in1k,55.234,54.414,54.414,54.687
efficientnet_es_pruned.in1k,53.047,55.625,54.492,54.388
efficientnet_lite0.ra_in1k,52.617,53.789,54.688,53.698
efficientvit_b2.r256_in1k,53.555,54.336,54.219,54.037
efficientvit_b2.r288_in1k,53.828,53.008,53.359,53.398
efficientvit_b3.r256_in1k,54.023,54.531,54.219,54.258
efficientvit_m1.r224_in1k,54.219,53.984,52.578,53.594
eva02_base_patch14_448.mim_in22k_ft_in1k,56.602,56.719,58.203,57.175
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,60.234,58.711,58.945,59.297
eva02_large_patch14_448.mim_in22k_ft_in1k,58.242,58.359,58.633,58.411
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,58.047,58.789,58.438,58.425
eva02_large_patch14_448.mim_m38m_ft_in1k,57.93,58.633,59.102,58.555
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,58.555,59.844,59.414,59.271
eva02_small_patch14_336.mim_in22k_ft_in1k,57.617,56.289,56.602,56.836
eva_giant_patch14_560.m30m_ft_in22k_in1k,59.766,60.586,59.414,59.922
eva_large_patch14_196.in22k_ft_in1k,57.5,56.211,56.406,56.706
eva_large_patch14_196.in22k_ft_in22k_in1k,57.266,57.461,57.5,57.409
eva_large_patch14_336.in22k_ft_in1k,57.578,57.344,56.953,57.292
eva_large_patch14_336.in22k_ft_in22k_in1k,58.359,59.883,58.164,58.802
fasternet_t2.in1k,55.078,55.117,55.898,55.364
fastvit_sa36.apple_dist_in1k,55.391,53.945,54.492,54.609
fastvit_t8.apple_dist_in1k,53.672,53.398,53.984,53.685
focalnet_base_lrf.ms_in1k,51.953,53.203,54.297,53.151
focalnet_base_srf.ms_in1k,54.102,54.688,54.648,54.479
focalnet_small_lrf.ms_in1k,56.25,54.023,51.992,54.088
focalnet_small_srf.ms_in1k,51.875,54.297,52.734,52.969
focalnet_tiny_lrf.ms_in1k,54.883,55.781,54.688,55.117
focalnet_tiny_srf.ms_in1k,54.453,55.742,55.352,55.182
ghostnet_100.in1k,56.875,55.977,57.617,56.823
ghostnetv2_100.in1k,53.594,53.359,52.852,53.268
ghostnetv2_130.in1k,54.141,53.008,55.469,54.206
hardcorenas_b.miil_green_in1k,53.594,54.023,53.359,53.659
hardcorenas_f.miil_green_in1k,54.062,54.883,54.453,54.466
hgnet_small.ssld_in1k,54.844,53.867,54.688,54.466
hgnetv2_b0.ssld_stage1_in22k_in1k,53.438,53.008,54.609,53.685
hrnet_w18.ms_aug_in1k,57.109,57.93,54.727,56.589
hrnet_w18.ms_in1k,56.992,55.391,55.312,55.898
hrnet_w18_small.ms_in1k,56.602,56.367,56.328,56.432
hrnet_w18_small_v2.ms_in1k,55.156,54.57,55.469,55.065
hrnet_w30.ms_in1k,56.484,55.469,56.211,56.055
hrnet_w32.ms_in1k,56.914,54.648,54.219,55.26
hrnet_w40.ms_in1k,58.242,55.82,54.961,56.341
hrnet_w44.ms_in1k,55.0,55.625,55.977,55.534
hrnet_w48.ms_in1k,57.812,57.969,55.117,56.966
inception_v3.tf_in1k,55.234,56.484,55.43,55.716
inception_v3.tv_in1k,55.312,55.859,54.453,55.208
lcnet_100.ra2_in1k,54.922,55.469,55.0,55.13
legacy_seresnet18.in1k,52.5,53.203,52.539,52.747
legacy_seresnet34.in1k,55.859,55.156,54.727,55.247
levit_128.fb_dist_in1k,53.125,53.828,53.32,53.424
levit_128s.fb_dist_in1k,57.344,52.5,53.008,54.284
levit_192.fb_dist_in1k,51.797,52.852,53.359,52.669
levit_256.fb_dist_in1k,54.844,55.273,53.594,54.57
levit_384.fb_dist_in1k,55.078,55.937,55.391,55.469
maxvit_base_tf_224.in1k,54.141,54.688,54.922,54.584
maxvit_base_tf_384.in21k_ft_in1k,60.234,58.398,58.828,59.153
maxvit_large_tf_224.in1k,54.805,55.156,55.195,55.052
maxvit_large_tf_384.in1k,56.953,55.469,56.211,56.211
maxvit_large_tf_384.in21k_ft_in1k,59.609,59.18,60.508,59.766
maxvit_large_tf_512.in21k_ft_in1k,58.594,58.477,58.672,58.581
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,56.484,56.992,56.328,56.601
maxvit_rmlp_small_rw_224.sw_in1k,54.453,54.844,54.453,54.583
maxvit_rmlp_tiny_rw_256.sw_in1k,55.742,52.07,53.516,53.776
maxvit_small_tf_224.in1k,52.969,53.203,51.953,52.708
maxvit_tiny_rw_224.sw_in1k,50.938,53.438,53.125,52.5
maxvit_tiny_tf_224.in1k,52.969,54.961,53.984,53.971
maxvit_tiny_tf_512.in1k,56.523,56.367,55.195,56.028
maxvit_xlarge_tf_384.in21k_ft_in1k,62.031,61.055,60.742,61.276
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,56.68,57.852,57.07,57.201
mixer_b16_224.goog_in21k_ft_in1k,52.422,53.047,52.5,52.656
mixnet_l.ft_in1k,55.469,57.305,57.188,56.654
mixnet_m.ft_in1k,55.586,57.344,55.625,56.185
mixnet_s.ft_in1k,54.961,55.977,54.883,55.274
mixnet_xl.ra_in1k,54.18,53.438,52.969,53.529
mnasnet_100.rmsp_in1k,56.211,55.039,55.234,55.495
mnasnet_small.lamb_in1k,54.453,55.391,54.883,54.909
mobilenetv2_050.lamb_in1k,56.484,55.703,56.68,56.289
mobilenetv2_100.ra_in1k,54.609,54.766,56.367,55.247
mobilenetv2_110d.ra_in1k,54.453,55.156,54.219,54.609
mobilenetv2_120d.ra_in1k,56.914,55.0,55.039,55.651
mobilenetv2_140.ra_in1k,57.305,56.797,56.758,56.953
mobilenetv3_large_100.miil_in21k_ft_in1k,55.625,57.148,56.133,56.302
mobilenetv3_large_100.ra_in1k,57.305,54.336,55.977,55.873
mobilenetv3_rw.rmsp_in1k,54.688,55.195,55.039,54.974
mobilenetv3_small_100.lamb_in1k,54.961,55.234,54.57,54.922
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,56.836,56.953,56.211,56.667
mobilenetv4_conv_small_050.e3000_r224_in1k,54.805,54.883,56.328,55.339
mobileone_s2.apple_in1k,54.375,54.805,53.516,54.232
mobileone_s4.apple_in1k,55.273,56.289,55.664,55.742
mobilevit_xs.cvnets_in1k,57.617,54.375,53.789,55.26
mobilevit_xxs.cvnets_in1k,54.414,54.141,56.367,54.974
mobilevitv2_050.cvnets_in1k,52.031,53.867,53.047,52.982
mobilevitv2_200.cvnets_in1k,52.969,53.477,53.945,53.464
mvitv2_base.fb_in1k,54.805,54.883,53.789,54.492
mvitv2_large.fb_in1k,55.742,56.016,56.055,55.938
mvitv2_small.fb_in1k,54.648,53.516,57.812,55.325
mvitv2_tiny.fb_in1k,55.078,55.547,55.117,55.247
pit_b_224.in1k,52.5,56.055,53.164,53.906
pit_b_distilled_224.in1k,53.125,54.062,55.547,54.245
pit_s_224.in1k,53.789,56.367,54.805,54.987
pit_s_distilled_224.in1k,53.438,53.711,52.344,53.164
pit_ti_224.in1k,54.609,55.039,55.781,55.143
pit_ti_distilled_224.in1k,52.93,53.242,55.977,54.05
pit_xs_224.in1k,53.516,52.773,52.617,52.969
pit_xs_distilled_224.in1k,53.711,53.906,54.805,54.141
poolformer_m36.sail_in1k,55.039,56.172,54.453,55.221
poolformer_m48.sail_in1k,56.836,54.297,54.57,55.234
poolformer_s12.sail_in1k,53.32,53.281,54.062,53.554
poolformer_s24.sail_in1k,55.352,54.219,54.453,54.675
poolformer_s36.sail_in1k,53.906,51.914,53.906,53.242
poolformerv2_m36.sail_in1k,54.883,56.914,55.898,55.898
poolformerv2_s12.sail_in1k,55.625,53.438,55.195,54.753
poolformerv2_s24.sail_in1k,52.578,56.445,53.789,54.271
poolformerv2_s36.sail_in1k,53.75,54.297,54.297,54.115
pvt_v2_b0.in1k,54.297,55.781,54.57,54.883
pvt_v2_b1.in1k,54.375,56.133,55.195,55.234
pvt_v2_b2.in1k,55.625,56.328,55.859,55.937
pvt_v2_b2_li.in1k,55.937,52.031,54.219,54.062
pvt_v2_b3.in1k,55.0,54.18,55.43,54.87
pvt_v2_b4.in1k,55.312,54.805,52.383,54.167
pvt_v2_b5.in1k,53.242,54.336,53.398,53.659
regnetx_002.pycls_in1k,54.648,53.672,56.289,54.87
regnetx_004.pycls_in1k,53.32,51.68,54.57,53.19
regnetx_004_tv.tv2_in1k,53.711,51.406,52.969,52.695
regnetx_008.pycls_in1k,53.672,53.438,53.086,53.399
regnetx_008.tv2_in1k,52.734,54.023,55.078,53.945
regnetx_016.pycls_in1k,53.945,53.75,55.0,54.232
regnetx_016.tv2_in1k,53.984,53.32,52.617,53.307
regnetx_032.pycls_in1k,52.266,54.062,53.867,53.398
regnety_002.pycls_in1k,53.203,50.547,52.773,52.174
regnety_004.pycls_in1k,54.609,55.469,56.211,55.43
regnety_004.tv2_in1k,54.492,53.359,55.039,54.297
regnety_006.pycls_in1k,55.937,55.43,53.594,54.987
regnety_008.pycls_in1k,52.227,52.656,52.266,52.383
regnety_008_tv.tv2_in1k,52.148,55.078,54.375,53.867
regnety_016.pycls_in1k,53.789,52.773,52.617,53.06
regnety_016.tv2_in1k,53.516,53.594,52.969,53.36
regnety_032.pycls_in1k,57.07,56.68,56.914,56.888
regnety_040.ra3_in1k,54.844,54.219,54.258,54.44
regnety_080.ra3_in1k,55.273,54.531,54.688,54.831
regnety_120.sw_in12k_ft_in1k,55.117,55.703,55.703,55.508
regnety_160.lion_in12k_ft_in1k,56.367,56.484,56.055,56.302
regnety_320.swag_ft_in1k,57.461,57.227,57.109,57.266
regnety_320.tv2_in1k,53.125,55.273,54.102,54.167
regnetz_d32.ra3_in1k,54.609,55.039,54.805,54.818
repghostnet_050.in1k,57.266,56.875,56.992,57.044
repghostnet_058.in1k,54.922,55.234,55.312,55.156
repvgg_a0.rvgg_in1k,55.82,56.25,56.094,56.055
repvgg_a1.rvgg_in1k,54.023,55.039,53.398,54.153
repvgg_a2.rvgg_in1k,53.984,53.438,55.508,54.31
