model,imagenet_top1,lp_avg,ft_avg,delta_ft_minus_lp,img_size,param_count
res2net50d.in1k,80.28,53.424,55.612,2.1880000000000024,224,25.72
resmlp_12_224.fb_distilled_in1k,77.948,53.802,56.966,3.1640000000000015,224,15.35
resmlp_12_224.fb_in1k,76.66,54.74,58.099,3.3589999999999947,224,15.35
resmlp_24_224.fb_in1k,79.38,52.812,55.912,3.1000000000000014,224,30.02
resmlp_36_224.fb_in1k,79.772,51.914,58.294,6.3799999999999955,224,44.69
resnest101e.in1k,82.916,54.531,58.021,3.490000000000002,256,48.28
resnest50d.in1k,80.958,53.464,57.344,3.8800000000000026,224,27.48
resnest50d_1s4x24d.in1k,81.024,54.661,58.841,4.18,224,25.68
resnest50d_4s2x40d.in1k,81.146,53.685,57.943,4.257999999999996,224,30.42
resnet101.a1_in1k,81.494,53.398,53.659,0.2609999999999957,224,44.55
resnet101.a2_in1k,81.344,54.805,55.169,0.3639999999999972,224,44.55
resnet101.a3_in1k,77.928,54.661,57.005,2.344000000000001,160,44.55
resnet10t.c3_in1k,66.724,54.479,55.221,0.7419999999999973,176,5.44
resnet14t.c3_in1k,71.318,52.891,58.086,5.195,176,10.08
resnet152.a1_in1k,81.998,55.612,54.388,-1.2240000000000038,224,60.19
resnet152.a3_in1k,78.896,54.414,55.833,1.418999999999997,160,60.19
resnet18.a1_in1k,71.504,53.06,54.284,1.2239999999999966,224,11.69
resnet18.a3_in1k,65.67,54.935,55.977,1.0419999999999945,160,11.69
resnet18.fb_ssl_yfcc100m_ft_in1k,72.636,54.557,59.44,4.882999999999996,224,11.69
resnet18.fb_swsl_ig1b_ft_in1k,73.286,56.263,59.688,3.4250000000000043,224,11.69
resnet18.gluon_in1k,70.844,54.31,59.062,4.751999999999995,224,11.69
resnet18.tv_in1k,69.752,56.003,58.333,2.3299999999999983,224,11.69
resnet200d.ra2_in1k,83.25,57.643,58.724,1.080999999999996,256,64.69
resnet34.a1_in1k,76.42,54.648,55.182,0.5339999999999989,224,21.80
