model,family,input_size,lp_avg,ft_avg,delta,lp_run_std,ft_run_std,lp_run_range,ft_run_range
levit_192.fb_dist_in1k,levit,unknown,52.669,53.281,0.6120000000000019,0.6506337081816652,0.38786108624380394,1.5620000000000047,0.8590000000000018
levit_256.fb_dist_in1k,levit,256,54.57,54.531,-0.03900000000000148,0.7122407520557146,0.4826599907457296,1.679000000000002,1.1330000000000027
levit_384.fb_dist_in1k,levit,384,55.469,53.19,-2.2790000000000035,0.35495946560448394,0.8293613339324551,0.8589999999999947,2.030999999999999
maxvit_base_tf_224.in1k,maxvit,224,54.584,59.362,4.777999999999999,0.32726577714281235,1.1997135769285376,0.7809999999999988,2.774000000000001
maxvit_base_tf_384.in21k_ft_in1k,maxvit,384,59.153,59.323,0.1700000000000017,0.7840515856044727,1.5028263003051574,1.8359999999999985,3.280999999999999
maxvit_large_tf_224.in1k,maxvit,224,55.052,61.745,6.692999999999998,0.17537958832201653,0.3209821732675431,0.39000000000000057,0.7809999999999988
maxvit_large_tf_384.in1k,maxvit,384,56.211,63.268,7.057000000000002,0.6058404630483735,2.4858954568167606,1.4840000000000018,6.053999999999995
maxvit_large_tf_384.in21k_ft_in1k,maxvit,384,59.766,62.76,2.9939999999999998,0.5533560236311611,1.628541337789403,1.328000000000003,3.9850000000000065
maxvit_large_tf_512.in21k_ft_in1k,maxvit,512,58.581,65.937,7.3559999999999945,0.08013738203859704,1.7049211777153304,0.19500000000000028,4.141000000000005
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,maxvit,224,56.601,56.589,-0.012000000000000455,0.28348936879929176,0.4397789848953173,0.6639999999999944,1.0150000000000006
maxvit_rmlp_small_rw_224.sw_in1k,maxvit,224,54.583,53.893,-0.6899999999999977,0.18431916762929257,0.5581511145439606,0.39099999999999824,1.3669999999999973
maxvit_rmlp_tiny_rw_256.sw_in1k,maxvit,256,53.776,54.974,1.1979999999999933,1.5103191715660622,1.4694784411106168,3.671999999999997,3.5549999999999997
maxvit_small_tf_224.in1k,maxvit,224,52.708,58.815,6.106999999999999,0.5425773882334408,1.2779072301575294,1.25,3.125
maxvit_tiny_rw_224.sw_in1k,maxvit,224,52.5,53.841,1.341000000000001,1.1121020137059765,0.6090442421441079,2.5,1.4070000000000036
maxvit_tiny_tf_224.in1k,maxvit,224,53.971,57.93,3.959000000000003,0.8132799162786577,0.5449519856525602,1.9919999999999973,1.328000000000003
maxvit_tiny_tf_512.in1k,maxvit,512,56.028,62.018,5.990000000000002,0.5926872887300879,0.18152379703192814,1.328000000000003,0.4299999999999997
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,maxxvitv2,384,57.201,58.32,1.1189999999999998,0.4873064288058944,3.0428068547897604,1.171999999999997,7.225999999999999
mixer_b16_224.goog_in21k_ft_in1k,mixer,224,52.656,57.083,4.427,0.2780723327161872,1.475687485735227,0.625,3.5549999999999997
mixnet_l.ft_in1k,mixnet,unknown,56.654,52.721,-3.933000000000007,0.8392818358573,0.771645140088515,1.8359999999999985,1.7970000000000041
mixnet_m.ft_in1k,mixnet,unknown,56.185,53.333,-2.852000000000004,0.8196914053471596,1.1167990966249128,1.7580000000000027,2.4609999999999985
mixnet_s.ft_in1k,mixnet,unknown,55.274,52.904,-2.3699999999999974,0.4983501669397603,0.39392582494113804,1.093999999999994,0.9380000000000024
mixnet_xl.ra_in1k,mixnet,unknown,53.529,52.24,-1.2890000000000015,0.4985585890009979,1.0307519369642488,1.2109999999999985,2.3829999999999956
mnasnet_100.rmsp_in1k,mnasnet,unknown,55.495,54.036,-1.458999999999996,0.5127418670463928,1.4774043304239886,1.171999999999997,3.5159999999999982
mnasnet_small.lamb_in1k,mnasnet,unknown,54.909,53.997,-0.911999999999999,0.38337796841585087,0.0805701902415241,0.9379999999999953,0.19599999999999795
mobilenetv2_050.lamb_in1k,mobilenetv2,unknown,56.289,52.019,-4.270000000000003,0.4220197467733775,0.7905079941967004,0.9769999999999968,1.9140000000000015
mobilenetv2_100.ra_in1k,mobilenetv2,unknown,55.247,53.542,-1.7049999999999983,0.7943140996412481,0.717762418136313,1.7579999999999956,1.6409999999999982
mobilenetv2_110d.ra_in1k,mobilenetv2,unknown,54.609,54.531,-0.07800000000000296,0.39818114247440345,0.3883309012799371,0.9369999999999976,0.8599999999999994
mobilenetv2_120d.ra_in1k,mobilenetv2,unknown,55.651,55.0,-0.6510000000000034,0.8932177785960156,0.35932745820800277,1.9140000000000015,0.7810000000000059
mobilenetv2_140.ra_in1k,mobilenetv2,unknown,56.953,53.828,-3.125,0.2491750834698809,0.41843119705235426,0.546999999999997,1.0159999999999982
mobilenetv3_large_100.miil_in21k_ft_in1k,mobilenetv3,unknown,56.302,54.049,-2.253,0.6331419008932107,0.9687794153240226,1.5230000000000032,2.3049999999999997
mobilenetv3_large_100.ra_in1k,mobilenetv3,unknown,55.873,53.125,-2.7479999999999976,1.2143322810865607,0.6588009309849748,2.969000000000001,1.5620000000000047
mobilenetv3_rw.rmsp_in1k,mobilenetv3,unknown,54.974,54.284,-0.6899999999999977,0.21202358359390036,0.6613808786672519,0.5069999999999979,1.600999999999999
mobilenetv3_small_100.lamb_in1k,mobilenetv3,unknown,54.922,54.245,-0.6769999999999996,0.27249994903159613,0.5490794316146091,0.6640000000000015,1.2890000000000015
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,mobilenetv4,384,56.667,55.833,-0.8340000000000032,0.3257261972202365,0.04864154602806308,0.7420000000000044,0.11700000000000443
mobilenetv4_conv_small_050.e3000_r224_in1k,mobilenetv4,224,55.339,54.063,-1.2759999999999962,0.7002886706367764,0.7541044725736302,1.5230000000000032,1.718999999999994
mobileone_s2.apple_in1k,mobileone,unknown,54.232,58.346,4.113999999999997,0.5358588122506407,0.04864154602806308,1.2890000000000015,0.11700000000000443
mobileone_s4.apple_in1k,mobileone,unknown,55.742,56.12,0.3780000000000001,0.41843119705235426,0.4872172684405444,1.0159999999999982,1.171999999999997
mobilevit_xs.cvnets_in1k,mobilevit,unknown,55.26,56.185,0.9250000000000043,1.6834997937497795,1.372115236495179,3.827999999999996,2.9299999999999997
mobilevit_xxs.cvnets_in1k,mobilevit,unknown,54.974,54.297,-0.6769999999999996,0.9912850246019043,1.3406074079394865,2.225999999999999,3.281000000000006
mobilevitv2_050.cvnets_in1k,mobilevitv2,unknown,52.982,53.125,0.14300000000000068,0.7509661924628973,1.2722863933355026,1.8359999999999985,2.773999999999994
mobilevitv2_200.cvnets_in1k,mobilevitv2,unknown,53.464,55.937,2.472999999999999,0.39856185913300235,0.9581281519481402,0.9759999999999991,2.3430000000000035
mvitv2_base.fb_in1k,mvitv2,unknown,54.492,58.385,3.8930000000000007,0.4983501669397622,0.3960642484356412,1.0940000000000012,0.8590000000000018
mvitv2_large.fb_in1k,mvitv2,unknown,55.938,59.388,3.4499999999999957,0.1392703206796856,1.6705903148288623,0.3130000000000024,4.061999999999998
mvitv2_small.fb_in1k,mvitv2,unknown,55.325,58.164,2.8389999999999986,1.8180556158220844,0.6223734141708375,4.295999999999999,1.5229999999999961
mvitv2_tiny.fb_in1k,mvitv2,unknown,55.247,57.461,2.2139999999999986,0.2124936600361405,1.916718202205703,0.4689999999999941,4.452999999999996
pit_b_224.in1k,pit,224,53.906,54.362,0.45600000000000307,1.5433298056115186,0.5005623504286638,3.5549999999999997,1.1720000000000041
pit_b_distilled_224.in1k,pit,224,54.245,55.391,1.1460000000000008,0.9971781296349314,0.6952277005093749,2.421999999999997,1.5629999999999953
pit_s_224.in1k,pit,224,54.987,55.573,0.5859999999999985,1.0603031013189874,0.52823542731122,2.577999999999996,1.2890000000000015
pit_s_distilled_224.in1k,pit,224,53.164,55.885,2.7209999999999965,0.59067325052764,0.6107210674458687,1.3669999999999973,1.445999999999998
pit_ti_224.in1k,pit,224,55.143,55.091,-0.0519999999999996,0.48408539191620464,1.3622608658647806,1.171999999999997,3.1639999999999944
pit_ti_distilled_224.in1k,pit,224,54.05,53.711,-0.33899999999999864,1.36876984511235,0.8311726655755725,3.046999999999997,1.8360000000000056
pit_xs_224.in1k,pit,224,52.969,55.312,2.3429999999999964,0.39222810823408416,0.5441166133182204,0.8990000000000009,1.2890000000000015
pit_xs_distilled_224.in1k,pit,224,54.141,56.133,1.9920000000000044,0.4764523993946188,1.05436457957704,1.0940000000000012,2.5390000000000015
poolformer_m36.sail_in1k,poolformer,unknown,55.221,57.162,1.9410000000000025,0.713523806345814,0.5196340592720557,1.718999999999994,1.171999999999997
poolformer_m48.sail_in1k,poolformer,unknown,55.234,56.068,0.8339999999999961,1.1380200154459303,0.9887112824277876,2.5390000000000015,2.2650000000000006
poolformer_s12.sail_in1k,poolformer,unknown,53.554,54.622,1.0679999999999978,0.35932745820799944,0.6156889546588344,0.7809999999999988,1.445999999999998
poolformer_s24.sail_in1k,poolformer,unknown,54.675,56.029,1.3540000000000063,0.48838122632040226,0.5263123280587937,1.1329999999999956,1.2890000000000015
poolformer_s36.sail_in1k,poolformer,unknown,53.242,55.664,2.422000000000004,0.9390378054157339,0.7336222158274367,1.9919999999999973,1.7970000000000041
poolformerv2_m36.sail_in1k,poolformerv2,unknown,55.898,60.091,4.192999999999998,0.8291523114335235,2.018587680092746,2.030999999999999,4.843999999999994
poolformerv2_s12.sail_in1k,poolformerv2,unknown,54.753,55.82,1.0670000000000002,0.9460395810371186,0.4168743482420353,2.1869999999999976,0.9369999999999976
poolformerv2_s24.sail_in1k,poolformerv2,unknown,54.271,57.656,3.384999999999998,1.615017922157177,1.9633768529415503,3.8669999999999973,4.805
poolformerv2_s36.sail_in1k,poolformerv2,unknown,54.115,59.505,5.390000000000001,0.2578582728726929,0.6069552427211314,0.546999999999997,1.4840000000000018
pvt_v2_b0.in1k,pvt,unknown,54.883,56.133,1.25,0.6449208392422199,0.6211614569140248,1.4840000000000018,1.445999999999998
pvt_v2_b1.in1k,pvt,unknown,55.234,57.279,2.0450000000000017,0.7182392049697351,0.9022682527940353,1.7580000000000027,1.9140000000000015
pvt_v2_b2.in1k,pvt,unknown,55.937,58.372,2.4350000000000023,0.2922947523001788,1.3399737145017265,0.703000000000003,3.280999999999999
pvt_v2_b2_li.in1k,pvt,unknown,54.062,56.849,2.786999999999999,1.598461204478301,1.079753984325441,3.905999999999999,2.6169999999999973
pvt_v2_b3.in1k,pvt,unknown,54.87,58.086,3.216000000000001,0.5185235449491823,1.7996889237371616,1.25,4.375
pvt_v2_b4.in1k,pvt,unknown,54.167,57.252,3.085000000000001,1.2781138012277637,1.6041064664028855,2.928999999999995,3.671999999999997
pvt_v2_b5.in1k,pvt,unknown,53.659,57.747,4.088000000000001,0.48316272851102837,1.3499966255101872,1.0940000000000012,3.007000000000005
regnetx_002.pycls_in1k,regnetx,unknown,54.87,55.938,1.068000000000005,1.0798223104854916,0.24084480941515404,2.6170000000000044,0.5859999999999985
regnetx_004.pycls_in1k,regnetx,unknown,53.19,57.044,3.853999999999999,1.1834131428485435,0.6769940094926182,2.8900000000000006,1.6020000000000039
regnetx_004_tv.tv2_in1k,regnetx,unknown,52.695,54.883,2.1880000000000024,0.9607033303204945,0.774229940004905,2.3049999999999997,1.6799999999999997
regnetx_008.pycls_in1k,regnetx,unknown,53.399,57.214,3.8149999999999977,0.24084480941515443,0.4556331370253453,0.5859999999999985,1.0930000000000035
regnetx_008.tv2_in1k,regnetx,unknown,53.945,56.133,2.1880000000000024,0.9585221263312953,0.28348936879929504,2.344000000000001,0.6640000000000015
regnetx_016.pycls_in1k,regnetx,unknown,54.232,59.518,5.286000000000001,0.5490952153821371,0.7132135413433728,1.25,1.600999999999999
regnetx_016.tv2_in1k,regnetx,unknown,53.307,60.117,6.809999999999995,0.5581511145439635,1.5879597671925518,1.3670000000000044,3.7890000000000015
regnetx_032.pycls_in1k,regnetx,unknown,53.398,58.281,4.882999999999996,0.804628416655097,0.9511292703354726,1.7959999999999994,2.3049999999999997
regnety_002.pycls_in1k,regnety,unknown,52.174,55.625,3.4510000000000005,1.164011836518668,0.3140767775914377,2.656000000000006,0.7419999999999973
regnety_004.pycls_in1k,regnety,unknown,55.43,57.656,2.225999999999999,0.6546048850685074,0.5441166133182195,1.6019999999999968,1.2890000000000015
regnety_004.tv2_in1k,regnety,unknown,54.297,56.25,1.953000000000003,0.6996267258728435,0.5364649724508269,1.6799999999999997,1.25
regnety_006.pycls_in1k,regnety,unknown,54.987,57.161,2.1739999999999995,1.0065117982418275,0.5047179630469095,2.3429999999999964,1.2109999999999985
regnety_008.pycls_in1k,regnety,unknown,52.383,57.252,4.869,0.19369563753476807,1.0444584987234076,0.42900000000000205,2.4609999999999985
regnety_008_tv.tv2_in1k,regnety,unknown,53.867,56.055,2.1880000000000024,1.2489390163921796,0.5326956604541352,2.9299999999999997,1.2890000000000015
regnety_016.pycls_in1k,regnety,unknown,53.06,57.123,4.062999999999995,0.5196340592720577,0.8511299678793024,1.1720000000000041,2.0700000000000003
regnety_016.tv2_in1k,regnety,unknown,53.36,56.732,3.372,0.2780723327161872,1.8339560154667474,0.625,4.4140000000000015
regnety_032.pycls_in1k,regnety,unknown,56.888,57.044,0.1559999999999988,0.1602747640771937,0.4941230166219317,0.39000000000000057,1.132000000000005
regnety_040.ra3_in1k,regnety,unknown,54.44,55.586,1.1460000000000008,0.28587915084680227,0.5956917547412138,0.625,1.4450000000000003
regnety_080.ra3_in1k,regnety,unknown,54.831,55.599,0.7679999999999936,0.3192766129166941,1.0065376296989592,0.7420000000000044,2.225999999999999
regnety_120.sw_in12k_ft_in1k,regnety,unknown,55.508,56.836,1.3279999999999959,0.2762430491835472,1.3889766816697193,0.5860000000000056,3.3590000000000018
regnety_160.lion_in12k_ft_in1k,regnety,unknown,56.302,57.578,1.2760000000000034,0.18106904760339396,0.6475967538179582,0.42900000000000205,1.5630000000000024
regnety_320.swag_ft_in1k,regnety,unknown,57.266,59.453,2.1870000000000047,0.14628131193772473,0.640064580075065,0.35199999999999676,1.5620000000000047
regnety_320.tv2_in1k,regnety,unknown,54.167,56.888,2.7209999999999965,0.8781086999278002,1.3011444535057937,2.1480000000000032,3.1640000000000015
regnetz_d32.ra3_in1k,regnetz,unknown,54.818,57.786,2.9680000000000035,0.17577510884334238,0.670956696731534,0.4299999999999997,1.6410000000000053
repghostnet_050.in1k,repghostnet,unknown,57.044,56.367,-0.6769999999999996,0.16385833990235404,0.24079082669865545,0.39099999999999824,0.5859999999999985
repghostnet_058.in1k,repghostnet,unknown,55.156,55.729,0.5730000000000004,0.16849925815860528,0.6031817489133966,0.39000000000000057,1.4070000000000036
repvgg_a0.rvgg_in1k,repvgg,unknown,56.055,58.984,2.929000000000002,0.17773638406984152,0.4759876282239106,0.4299999999999997,1.0930000000000035
repvgg_a1.rvgg_in1k,repvgg,unknown,54.153,59.623,5.469999999999999,0.6762446960153461,0.988492567273805,1.6409999999999982,2.3830000000000027
repvgg_a2.rvgg_in1k,repvgg,unknown,54.31,58.216,3.905999999999999,0.8759497702494136,0.7717914226006906,2.0700000000000003,1.796999999999997
repvgg_b0.rvgg_in1k,repvgg,unknown,55.378,57.305,1.9269999999999996,0.4981842586388656,0.4827948724757644,1.2100000000000009,1.1330000000000027
repvgg_b1.rvgg_in1k,repvgg,unknown,53.438,59.544,6.1059999999999945,0.9951731284332165,0.9621766989487961,2.149000000000001,2.1480000000000032
repvgg_b1g4.rvgg_in1k,repvgg,unknown,56.602,59.505,2.903000000000006,0.44332255625998435,1.368573222983214,0.9769999999999968,3.046999999999997
repvgg_b2.rvgg_in1k,repvgg,unknown,55.378,60.26,4.881999999999998,0.6103869446688898,1.1765974483890231,1.4450000000000003,2.8120000000000047
repvgg_b2g4.rvgg_in1k,repvgg,unknown,55.247,58.802,3.5549999999999997,0.8850541728554733,1.2298067598881808,2.147999999999996,2.7349999999999994
repvgg_b3g4.rvgg_in1k,repvgg,unknown,57.93,62.656,4.725999999999999,0.35495946560448705,1.3004512891898576,0.8590000000000018,2.851000000000006
repvgg_d2se.rvgg_in1k,repvgg,unknown,54.427,59.193,4.765999999999998,0.655219556077706,0.6387430364917221,1.600999999999999,1.5619999999999976
repvit_m1_0.dist_450e_in1k,repvit,unknown,53.399,54.492,1.0929999999999964,0.6151039659186827,0.5524860983670911,1.406000000000006,1.1720000000000041
repvit_m1_1.dist_450e_in1k,repvit,unknown,53.802,54.87,1.0679999999999978,1.3475390738511273,0.5926872887300892,3.280999999999999,1.328000000000003
repvit_m2_3.dist_450e_in1k,repvit,unknown,54.922,53.424,-1.4979999999999976,1.390174329595633,0.31462817561192474,3.125,0.7029999999999959
res2net50_14w_8s.in1k,res2net50,unknown,53.776,57.682,3.905999999999999,0.8934364368362577,1.0684538153591658,2.1880000000000024,2.3049999999999997
res2net50_26w_4s.in1k,res2net50,unknown,55.026,57.123,2.096999999999994,0.10236210236215201,0.976611261227083,0.23399999999999466,2.2659999999999982
res2net50_26w_6s.in1k,res2net50,unknown,52.982,57.292,4.310000000000002,0.018384776310850934,0.49559481658127086,0.03900000000000148,1.1720000000000041
res2net50_26w_8s.in1k,res2net50,unknown,54.675,58.659,3.9840000000000018,0.07401050976419031,0.8475381341797482,0.15699999999999648,2.0700000000000003
res2net50_48w_2s.in1k,res2net50,unknown,54.87,57.826,2.956000000000003,0.7177624181363123,1.3017235582957805,1.7579999999999956,3.007000000000005
res2net50d.in1k,res2net50d.in1k,unknown,53.424,55.612,2.1880000000000024,0.5286626733770994,1.0526906267064198,1.2899999999999991,2.5
resmlp_12_224.fb_distilled_in1k,resmlp,224,53.802,56.966,3.1640000000000015,0.40398349801281214,0.8318238328449642,0.9380000000000024,1.9919999999999973
resmlp_12_224.fb_in1k,resmlp,224,54.74,58.099,3.3589999999999947,0.036769552621698516,1.2594795221307362,0.07799999999999585,3.085000000000001
resmlp_24_224.fb_in1k,resmlp,224,52.812,55.912,3.1000000000000014,0.355032705848662,1.0627565833978905,0.8590000000000018,2.578000000000003
resmlp_36_224.fb_in1k,resmlp,224,51.914,58.294,6.3799999999999955,0.3363044255829325,1.206193553659151,0.820999999999998,2.578000000000003
resnest101e.in1k,resnest,unknown,54.531,58.021,3.490000000000002,0.22319547984271948,1.6151388657188457,0.5079999999999956,3.5549999999999997
resnest50d.in1k,resnest,unknown,53.464,57.344,3.8800000000000026,0.0805701902415241,0.8773582823200325,0.19599999999999795,2.1480000000000032
resnest50d_1s4x24d.in1k,resnest,unknown,54.661,58.841,4.18,0.27128869411672096,0.8392818358573,0.625,1.8359999999999985
resnest50d_4s2x40d.in1k,resnest,unknown,53.685,57.943,4.257999999999996,0.4064537694088553,1.282767580922854,0.8990000000000009,3.047000000000004
resnet101.a1_in1k,resnet,unknown,53.398,53.659,0.2609999999999957,1.2549200063040775,0.13257450735341417,3.047000000000004,0.3120000000000047
resnet101.a2_in1k,resnet,unknown,54.805,55.169,0.3639999999999972,0.7357102388546446,0.5264030986062121,1.7970000000000041,1.25
resnet101.a3_in1k,resnet,unknown,54.661,57.005,2.344000000000001,0.257824660487618,0.8682527793729734,0.625,2.031000000000006
resnet10t.c3_in1k,resnet,unknown,54.479,55.221,0.7419999999999973,0.6641146152752698,0.4103797699150799,1.5629999999999953,0.9379999999999953
resnet14t.c3_in1k,resnet,unknown,52.891,58.086,5.195,0.3041516434646074,0.9524400243584915,0.7419999999999973,2.1870000000000047
resnet152.a1_in1k,resnet,unknown,55.612,54.388,-1.2240000000000038,0.29634364436504396,1.3862787117555655,0.6640000000000015,3.203000000000003
resnet152.a3_in1k,resnet,unknown,54.414,55.833,1.418999999999997,0.3553993059456739,0.3899341824804121,0.8599999999999994,0.9380000000000024
resnet18.a1_in1k,resnet,unknown,53.06,54.284,1.2239999999999966,0.3383085376792434,0.5424653598771675,0.8210000000000051,1.3279999999999959
resnet18.a3_in1k,resnet,unknown,54.935,55.977,1.0419999999999945,0.5786887476585891,0.11526587622632398,1.4059999999999988,0.2740000000000009
resnet18.fb_ssl_yfcc100m_ft_in1k,resnet,unknown,54.557,59.44,4.882999999999996,0.8016717255557632,0.9576401551035063,1.8350000000000009,2.344000000000001
resnet18.fb_swsl_ig1b_ft_in1k,resnet,unknown,56.263,59.688,3.4250000000000043,0.600351193515559,0.5309113757388215,1.328000000000003,1.2109999999999985
resnet18.gluon_in1k,resnet,unknown,54.31,59.062,4.751999999999995,0.9887112824277876,0.177736384069841,2.2650000000000006,0.4299999999999997
resnet18.tv_in1k,resnet,unknown,56.003,58.333,2.3299999999999983,0.3843143967581162,0.9465890813277376,0.9369999999999976,2.2650000000000006
resnet200d.ra2_in1k,resnet,unknown,57.643,58.724,1.080999999999996,0.5899903954020496,0.38065557485299906,1.4450000000000003,0.8599999999999994
resnet34.a1_in1k,resnet,unknown,54.648,55.182,0.5339999999999989,1.3096056234183213,1.1213605823086317,3.085000000000001,2.6169999999999973
resnet34.a3_in1k,resnet,unknown,54.596,56.641,2.0450000000000017,0.3695414576050819,1.7479173003574524,0.8200000000000003,4.061999999999998
resnet34.gluon_in1k,resnet,unknown,55.612,58.776,3.1640000000000015,0.8854268273926774,0.5924969760822982,2.148999999999994,1.328000000000003
resnet34d.ra2_in1k,resnet,unknown,54.675,54.401,-0.2739999999999938,0.873507234594477,1.1233415429967044,2.1090000000000018,2.5389999999999944
resnet50.a1_in1k,resnet,unknown,54.375,54.636,0.2610000000000028,0.8599988372085169,1.3399737145017265,1.9140000000000015,3.280999999999999
resnet50.a1h_in1k,resnet,unknown,55.43,55.338,-0.09199999999999875,1.635698491640669,0.9417378734139472,3.632000000000005,2.304000000000002
resnet50.a3_in1k,resnet,unknown,54.974,55.807,0.8330000000000055,1.0007524946536759,0.8622537651733114,2.3049999999999997,1.992999999999995
resnet50.am_in1k,resnet,unknown,54.102,57.188,3.0860000000000056,0.4951572140913115,0.7308704095498445,1.2110000000000056,1.7580000000000027
resnet50.ram_in1k,resnet,unknown,52.695,58.724,6.028999999999996,0.08424962907930209,0.5892556509887896,0.19500000000000028,1.25
resnet50.tv_in1k,resnet,unknown,52.851,59.714,6.8629999999999995,0.8627754954538038,1.6947924815609583,2.1090000000000018,4.061999999999998
resnet50d.a3_in1k,resnet,unknown,54.531,53.972,-0.5589999999999975,0.06368673331236215,0.6451962664354352,0.1559999999999988,1.406000000000006
resnet50d.ra2_in1k,resnet,unknown,54.922,57.318,2.396000000000001,1.2850154344079552,0.5546075689670632,2.9299999999999997,1.2890000000000015
resnetrs50.tf_in1k,resnetrs,unknown,54.597,56.862,2.2650000000000006,0.862981395447717,0.3806555748529977,2.0700000000000003,0.8599999999999994
resnext101_32x8d.tv2_in1k,resnext,unknown,53.841,56.289,2.4480000000000004,1.2587885710740578,0.5820265362411668,2.8130000000000024,1.2890000000000015
resnext50_32x4d.a1_in1k,resnext,unknown,55.977,56.185,0.2080000000000055,0.34489160938216834,0.2963290213409575,0.8200000000000003,0.703000000000003
resnext50_32x4d.tv_in1k,resnext,unknown,56.055,59.518,3.463000000000001,0.5561446654323757,0.4883989716978887,1.25,1.0549999999999997
rexnet_100.nav_in1k,rexnet,unknown,52.734,52.435,-0.2989999999999995,0.7740113407150813,0.8705953263268893,1.6799999999999997,2.1090000000000018
rexnet_130.nav_in1k,rexnet,unknown,55.143,52.214,-2.929000000000002,0.5498915044503463,0.4328066029481958,1.3279999999999959,0.9370000000000047
rexnet_150.nav_in1k,rexnet,unknown,54.049,53.398,-0.6509999999999962,0.16070746370000843,0.4983501669397622,0.39100000000000534,1.0940000000000012
rexnet_200.nav_in1k,rexnet,unknown,54.297,53.021,-1.2759999999999962,0.45001629600123055,0.9603559525277877,1.0940000000000012,2.2659999999999982
rexnet_300.nav_in1k,rexnet,unknown,53.633,52.839,-0.794000000000004,1.117117222537048,0.5047179630469095,2.6950000000000003,1.2109999999999985
selecsls60.in1k,selecsls60.in1k,unknown,56.81,57.891,1.080999999999996,0.6087376738428091,0.7050864407211983,1.4059999999999988,1.6400000000000006
semnasnet_075.rmsp_in1k,semnasnet,unknown,56.042,51.614,-4.428000000000004,0.46482326390432005,0.916614907629637,1.1329999999999956,2.225999999999999
seresnet50.a3_in1k,seresnet50.a3,unknown,54.74,54.44,-0.30000000000000426,0.35258316591818345,0.723097196478836,0.8590000000000018,1.678999999999995
seresnextaa101d_32x8d.sw_in12k_ft_in1k,seresnextaa101d,unknown,57.318,56.914,-0.40399999999999636,0.28587915084680227,0.5269541409521965,0.625,1.2890000000000015
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,seresnextaa101d,288,57.279,58.125,0.8459999999999965,0.4332776887350129,1.2357541107446164,0.9379999999999953,3.0079999999999956
shvit_s3.in1k,shvit,unknown,55.586,54.961,-0.625,0.9084429903228181,0.9129253346614193,2.1879999999999953,2.2269999999999968
shvit_s4.in1k,shvit,unknown,53.503,56.107,2.603999999999999,0.6766862066144279,0.3348833959587859,1.5230000000000032,0.8200000000000003
skresnet18.ra_in1k,skresnet18.ra,unknown,54.453,55.781,1.3279999999999959,0.5561446654323757,0.40734833578482416,1.25,0.9769999999999968
skresnet34.ra_in1k,skresnet34.ra,unknown,53.958,55.378,1.4200000000000017,0.7824578085892064,0.48838122632040554,1.679000000000002,1.1330000000000027
spnasnet_100.rmsp_in1k,spnasnet,unknown,54.336,52.279,-2.056999999999995,0.8137060621351876,0.5116333322474864,1.9919999999999973,1.25
swin_base_patch4_window7_224.ms_in1k,swin,224,54.766,59.675,4.908999999999999,1.4945800599350818,1.2842529172852035,3.280999999999999,3.125
swin_base_patch4_window7_224.ms_in22k_ft_in1k,swin,224,57.903,60.859,2.956000000000003,1.0088430116832936,2.1272778118734013,2.3829999999999956,4.57
swin_large_patch4_window12_384.ms_in22k_ft_in1k,swin,384,56.159,69.479,13.32,0.6186794179720393,1.013077489632458,1.3669999999999973,2.1869999999999976
swin_s3_base_224.ms_in1k,swin,224,52.526,57.865,5.338999999999999,0.4400848403054418,0.6933052878943172,1.0159999999999982,1.6799999999999997
swin_s3_small_224.ms_in1k,swin,224,52.24,57.721,5.4809999999999945,0.8204569187687791,1.0526246561175874,1.7960000000000065,2.578000000000003
swin_s3_tiny_224.ms_in1k,swin,224,54.271,58.984,4.713000000000001,0.571758301693606,0.8598020444006617,1.25,1.9140000000000015
swin_small_patch4_window7_224.ms_in1k,swin,224,56.016,59.844,3.828000000000003,0.6592553037750685,1.5490888361298767,1.6020000000000039,3.593999999999994
swin_small_patch4_window7_224.ms_in22k_ft_in1k,swin,224,55.338,60.82,5.481999999999999,0.7345666901120853,1.635285975669767,1.7580000000000027,3.9849999999999994
swin_tiny_patch4_window7_224.ms_in1k,swin,224,55.039,58.763,3.7239999999999966,0.9582776215690306,0.7108347205926266,2.225999999999999,1.5629999999999953
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,swin,224,57.513,58.477,0.9639999999999986,0.9894607959220337,1.4208638999644605,2.421999999999997,3.4379999999999953
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,swinv2,unknown,57.682,62.122,4.439999999999998,0.1118302284715526,0.8751138338651833,0.27299999999999613,1.992999999999995
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,swinv2,unknown,59.753,61.341,1.588000000000001,0.24779740829063426,4.179994577348955,0.5859999999999985,10.234000000000002
swinv2_cr_small_224.sw_in1k,swinv2,224,54.102,57.734,3.632000000000005,0.0847125859729357,4.21255507052694,0.19599999999999795,9.571000000000005
swinv2_cr_small_ns_224.sw_in1k,swinv2,224,54.245,56.601,2.3560000000000016,0.4879278179767538,1.6599972556871574,1.054000000000002,3.6330000000000027
swinv2_cr_tiny_ns_224.sw_in1k,swinv2,224,54.596,56.614,2.0180000000000007,0.6814662297005032,1.8479006707312178,1.5629999999999953,4.18
