model,family,input_size,lp_avg,ft_avg,delta,lp_run_std,ft_run_std,lp_run_range,ft_run_range
convit_small.fb_in1k,convit,unknown,53.451,58.242,4.790999999999997,0.7132135413433761,1.077041317684703,1.6010000000000062,2.304000000000002
convit_tiny.fb_in1k,convit,unknown,53.776,53.125,-0.6510000000000034,1.0586585851916581,0.5641743229416464,2.2650000000000006,1.3669999999999973
convmixer_1536_20.in1k,convmixer,unknown,55.417,54.18,-1.2370000000000019,0.21237126819689198,0.19416545063996854,0.5080000000000027,0.4299999999999997
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,convnext,384,59.505,63.216,3.7109999999999985,1.025483734092789,5.988355719412653,2.344000000000001,14.102000000000004
convnext_base.dinov3_lvd1689m,convnext,unknown,54.974,57.539,2.565000000000005,0.8479272767558932,1.3743837406876833,2.070999999999998,3.1640000000000015
convnext_base.fb_in22k_ft_in1k,convnext,unknown,55.338,57.747,2.408999999999999,0.4111385276143442,0.3193580366227775,0.9760000000000062,0.7809999999999988
convnext_base.fb_in22k_ft_in1k_384,convnext,384,57.252,59.713,2.4609999999999985,0.6037197657486112,2.492194526026321,1.3670000000000044,5.859000000000002
convnext_large.dinov3_lvd1689m,convnext,unknown,56.224,58.307,2.0830000000000055,0.6170382664164545,1.5663582675180725,1.328000000000003,3.397999999999996
convnext_large.fb_in22k_ft_in1k,convnext,unknown,55.768,60.911,5.143000000000001,0.49855858900100103,2.1508860706436534,1.2110000000000056,4.8430000000000035
convnext_large.fb_in22k_ft_in1k_384,convnext,384,58.008,63.359,5.350999999999999,0.749764555636558,2.63130474606547,1.678999999999995,6.445
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,convnext,unknown,59.284,59.427,0.14300000000000068,0.3530136918968815,1.4604768627632114,0.8599999999999994,3.4370000000000047
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,convnext,384,60.377,62.149,1.7719999999999985,0.2963290213409543,1.149737457953866,0.7029999999999959,2.8129999999999953
convnext_nano.in12k_ft_in1k,convnext,unknown,53.841,57.331,3.490000000000002,0.737493050814719,0.6299306840174307,1.6020000000000039,1.5230000000000032
convnext_small.dinov3_lvd1689m,convnext,unknown,57.838,58.177,0.33899999999999864,0.6584326507362439,0.8535144339077626,1.4840000000000018,2.0700000000000003
convnext_small.fb_in1k,convnext,unknown,55.247,58.607,3.3599999999999994,0.6300065255393948,1.2599371236516377,1.5229999999999961,3.0460000000000065
convnext_small.fb_in22k_ft_in1k,convnext,unknown,55.521,58.945,3.4239999999999995,0.5063031590745709,1.973289695463447,1.0930000000000035,4.765000000000001
convnext_small.in12k_ft_in1k_384,convnext,384,56.953,61.029,4.0760000000000005,0.19886176103011965,4.163507922680373,0.4680000000000035,8.984000000000002
convnext_tiny.fb_in22k_ft_in1k,convnext,unknown,56.732,58.971,2.238999999999997,1.1189936947493888,0.893586158253487,2.7349999999999994,2.1870000000000047
convnext_xlarge.fb_in22k_ft_in1k_384,convnext,384,59.895,63.893,3.9979999999999976,0.5892556509887896,0.8781333738232617,1.25,2.1480000000000032
convnext_xxlarge.clip_laion2b_soup_ft_in1k,convnext,unknown,60.208,57.201,-3.006999999999998,0.5672461742684745,1.1507696941129841,1.3669999999999973,2.8130000000000024
convnextv2_atto.fcmae_ft_in1k,convnextv2,unknown,53.06,57.591,4.530999999999999,1.3540194484078403,0.9882115158203755,3.2420000000000044,2.1870000000000047
convnextv2_base.fcmae_ft_in22k_in1k,convnextv2,unknown,56.927,61.758,4.831000000000003,0.6536701512740705,0.19146859330506738,1.600999999999999,0.4689999999999941
convnextv2_base.fcmae_ft_in22k_in1k_384,convnextv2,384,57.93,62.396,4.466000000000001,0.6084742302586773,1.6055562552862737,1.328000000000003,3.827999999999996
convnextv2_large.fcmae_ft_in1k,convnextv2,unknown,55.976,60.833,4.856999999999999,0.26109810842329406,0.11225665038453173,0.625,0.2739999999999938
convnextv2_large.fcmae_ft_in22k_in1k,convnextv2,unknown,58.008,60.235,2.2269999999999968,0.1776632269835885,1.2990612850139995,0.4299999999999997,3.1640000000000015
