Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
beit3_base_patch16_224.in22k_ft_in1k,60.625,61.445,62.734,61.601
beit3_large_patch16_224.in22k_ft_in1k,63.516,60.859,59.453,61.276
beit3_large_patch16_224.indomain_in22k_ft_in1k,59.18,66.367,61.25,62.266
beit_base_patch16_224.in22k_ft_in22k_in1k,58.555,60.195,61.211,59.987
beit_base_patch16_384.in22k_ft_in22k_in1k,63.398,64.961,60.664,63.008
beit_large_patch16_224.in22k_ft_in22k_in1k,59.883,61.523,63.516,61.641
beit_large_patch16_384.in22k_ft_in22k_in1k,68.633,63.633,65.43,65.899
beit_large_patch16_512.in22k_ft_in22k_in1k,55.117,59.57,63.477,59.388
beitv2_base_patch16_224.in1k_ft_in1k,69.258,62.656,61.953,64.622
beitv2_base_patch16_224.in1k_ft_in22k_in1k,60.156,61.367,61.992,61.172
beitv2_large_patch16_224.in1k_ft_in1k,65.352,57.539,77.188,66.693
beitv2_large_patch16_224.in1k_ft_in22k_in1k,69.844,74.883,67.266,70.664
caformer_m36.sail_in1k,63.359,61.484,59.336,61.393
caformer_m36.sail_in22k_ft_in1k,59.688,59.102,62.187,60.326
caformer_s18.sail_in1k,55.742,55.117,56.094,55.651
caformer_s18.sail_in22k_ft_in1k,55.391,57.461,56.563,56.472
caformer_s36.sail_in1k,60.547,58.633,57.461,58.88
caformer_s36.sail_in22k_ft_in1k,59.688,62.344,59.609,60.547
cait_m36_384.fb_dist_in1k,63.828,68.047,67.734,66.536
cait_s24_224.fb_dist_in1k,60.781,59.531,60.195,60.169
cait_s36_384.fb_dist_in1k,61.016,65.938,65.234,64.063
cait_xxs24_224.fb_dist_in1k,56.523,58.125,58.594,57.747
cait_xxs36_224.fb_dist_in1k,57.305,56.445,60.0,57.917
coat_lite_medium.in1k,57.148,58.789,57.305,57.747
coat_lite_mini.in1k,55.742,54.883,56.875,55.833
coat_lite_small.in1k,54.531,55.352,55.586,55.156
coat_lite_tiny.in1k,54.57,56.836,52.07,54.492
coat_mini.in1k,57.695,57.422,55.547,56.888
coat_small.in1k,58.008,56.172,58.906,57.695
coat_tiny.in1k,56.641,56.523,55.312,56.159
coatnet_0_rw_224.sw_in1k,57.695,56.094,56.68,56.823
coatnet_1_rw_224.sw_in1k,54.141,58.594,56.172,56.302
coatnet_bn_0_rw_224.sw_in1k,57.305,56.328,54.336,55.99
coatnet_nano_rw_224.sw_in1k,55.703,55.117,56.563,55.794
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,58.008,56.25,55.469,56.576
coatnet_rmlp_1_rw_224.sw_in1k,57.93,56.992,56.836,57.253
coatnet_rmlp_2_rw_224.sw_in1k,51.797,53.75,52.93,52.826
coatnet_rmlp_nano_rw_224.sw_in1k,54.922,54.297,54.609,54.609
convformer_s18.sail_in1k_384,60.0,63.672,59.453,61.042
convit_base.fb_in1k,58.828,58.945,59.023,58.932
convit_small.fb_in1k,59.023,58.984,56.719,58.242
convit_tiny.fb_in1k,53.75,52.383,53.242,53.125
convmixer_1536_20.in1k,54.336,53.906,54.297,54.18
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,55.0,69.102,65.547,63.216
convnext_base.dinov3_lvd1689m,55.625,58.789,58.203,57.539
convnext_base.fb_in22k_ft_in1k,58.125,57.344,57.773,57.747
convnext_base.fb_in22k_ft_in1k_384,56.289,60.703,62.148,59.713
convnext_large.dinov3_lvd1689m,59.336,59.492,56.094,58.307
convnext_large.fb_in22k_ft_in1k,57.891,62.109,62.734,60.911
convnext_large.fb_in22k_ft_in1k_384,63.398,60.117,66.562,63.359
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,57.422,60.859,60.0,59.427
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,60.703,62.227,63.516,62.149
convnext_nano.in12k_ft_in1k,58.164,56.641,57.188,57.331
convnext_small.dinov3_lvd1689m,59.297,58.008,57.227,58.177
convnext_small.fb_in1k,58.32,60.273,57.227,58.607
convnext_small.fb_in22k_ft_in1k,61.562,58.477,56.797,58.945
convnext_small.in12k_ft_in1k_384,57.93,66.914,58.242,61.029
convnext_tiny.fb_in22k_ft_in1k,57.852,60.039,59.023,58.971
convnext_xlarge.fb_in22k_ft_in1k_384,62.852,63.828,65.0,63.893
convnext_xxlarge.clip_laion2b_soup_ft_in1k,58.555,55.742,57.305,57.201
convnextv2_atto.fcmae_ft_in1k,56.797,58.984,56.992,57.591
convnextv2_base.fcmae_ft_in22k_in1k,61.758,61.523,61.992,61.758
convnextv2_base.fcmae_ft_in22k_in1k_384,64.57,61.875,60.742,62.396
convnextv2_large.fcmae_ft_in1k,60.82,60.977,60.703,60.833
convnextv2_large.fcmae_ft_in22k_in1k,58.555,60.43,61.719,60.235
convnextv2_large.fcmae_ft_in22k_in1k_384,59.648,62.109,61.328,61.028
convnextv2_nano.fcmae_ft_in22k_in1k,58.555,56.719,57.227,57.5
convnextv2_tiny.fcmae_ft_in22k_in1k,61.016,59.141,58.984,59.714
crossvit_15_240.in1k,58.516,59.883,55.039,57.813
crossvit_18_240.in1k,59.414,59.844,59.258,59.505
crossvit_9_240.in1k,56.563,57.227,56.328,56.706
crossvit_tiny_240.in1k,58.398,57.266,56.836,57.5
davit_base.msft_in1k,60.273,58.477,58.867,59.206
davit_small.msft_in1k,58.125,57.305,59.844,58.425
davit_tiny.msft_in1k,56.289,56.211,57.109,56.536
deit3_base_patch16_224.fb_in1k,58.203,60.547,57.617,58.789
deit3_base_patch16_224.fb_in22k_ft_in1k,58.828,60.234,61.992,60.351
deit3_huge_patch14_224.fb_in1k,56.211,57.305,60.43,57.982
deit3_large_patch16_224.fb_in1k,60.0,59.102,60.273,59.792
deit3_medium_patch16_224.fb_in1k,59.805,59.141,56.914,58.62
deit3_medium_patch16_224.fb_in22k_ft_in1k,55.391,58.32,59.141,57.617
deit3_small_patch16_224.fb_in1k,56.992,59.688,58.789,58.49
deit3_small_patch16_224.fb_in22k_ft_in1k,59.648,56.836,57.93,58.138
deit_base_distilled_patch16_224.fb_in1k,56.68,55.664,57.188,56.511
deit_base_patch16_224.fb_in1k,58.359,61.602,55.117,58.359
deit_base_patch16_384.fb_in1k,55.781,59.57,57.07,57.474
deit_small_distilled_patch16_224.fb_in1k,58.086,56.328,57.305,57.24
deit_small_patch16_224.fb_in1k,54.219,54.727,56.836,55.261
deit_tiny_distilled_patch16_224.fb_in1k,55.547,55.078,58.516,56.38
deit_tiny_patch16_224.fb_in1k,56.211,57.109,56.523,56.614
densenet121.ra_in1k,57.734,57.07,58.125,57.643
densenet121.tv_in1k,57.617,61.289,58.633,59.18
densenet161.tv_in1k,59.297,61.328,61.25,60.625
densenet169.tv_in1k,60.898,60.508,58.984,60.13
densenet201.tv_in1k,58.438,58.945,59.688,59.024
densenetblur121d.ra_in1k,56.055,55.469,56.172,55.899
dla102.in1k,55.43,56.992,57.852,56.758
dla169.in1k,60.391,59.258,60.039,59.896
dla34.in1k,56.641,54.336,55.508,55.495
dla46_c.in1k,55.352,55.625,53.945,54.974
dla46x_c.in1k,52.617,56.172,54.805,54.531
dla60.in1k,58.008,56.445,56.875,57.109
dla60x_c.in1k,51.289,55.898,54.141,53.776
dpn107.mx_in1k,64.258,62.227,61.953,62.813
dpn131.mx_in1k,63.633,61.055,62.109,62.266
dpn68.mx_in1k,61.328,60.586,60.391,60.768
