Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
deit_base_patch16_384.fb_in1k,51.914,50.156,52.344,51.471
deit_small_distilled_patch16_224.fb_in1k,52.383,50.742,52.109,51.745
deit_small_patch16_224.fb_in1k,52.852,50.859,48.984,50.898
deit_tiny_distilled_patch16_224.fb_in1k,52.383,50.039,48.555,50.326
deit_tiny_patch16_224.fb_in1k,49.023,51.523,51.172,50.573
densenet121.ra_in1k,51.562,51.992,52.656,52.07
densenet121.tv_in1k,53.594,53.438,53.398,53.477
densenet161.tv_in1k,53.32,52.031,52.695,52.682
densenet169.tv_in1k,52.969,52.539,52.344,52.617
densenet201.tv_in1k,52.773,52.5,51.68,52.318
densenetblur121d.ra_in1k,51.797,53.32,51.055,52.057
dla102.in1k,51.289,51.602,51.055,51.315
dla169.in1k,52.5,51.094,53.398,52.331
dla34.in1k,52.812,52.734,52.5,52.682
dla46_c.in1k,51.172,50.82,49.414,50.469
dla46x_c.in1k,50.508,54.688,52.812,52.669
dla60.in1k,52.422,51.133,51.797,51.784
dla60x_c.in1k,51.484,48.32,49.961,49.922
dpn107.mx_in1k,50.039,50.859,49.492,50.13
dpn131.mx_in1k,51.68,51.836,51.992,51.836
dpn68.mx_in1k,51.25,50.938,50.469,50.886
dpn68b.mx_in1k,50.0,49.492,49.453,49.648
dpn92.mx_in1k,48.945,48.945,48.867,48.919
dpn98.mx_in1k,52.891,50.977,50.625,51.498
eca_nfnet_l0.ra2_in1k,53.086,52.461,51.914,52.487
eca_nfnet_l1.ra2_in1k,49.883,49.766,50.234,49.961
ecaresnet50t.a2_in1k,50.547,50.703,50.273,50.508
edgenext_xx_small.in1k,51.562,49.18,54.102,51.615
efficientformer_l1.snap_dist_in1k,50.117,51.602,51.25,50.99
efficientformer_l3.snap_dist_in1k,51.406,50.82,50.547,50.924
efficientformer_l7.snap_dist_in1k,50.43,52.07,50.391,50.964
efficientformerv2_l.snap_dist_in1k,53.32,51.641,51.836,52.266
efficientformerv2_s0.snap_dist_in1k,49.102,52.422,51.484,51.003
efficientformerv2_s1.snap_dist_in1k,53.438,53.125,51.445,52.669
efficientformerv2_s2.snap_dist_in1k,51.602,52.93,52.93,52.487
efficientnet_b0.ra_in1k,49.492,50.469,51.562,50.508
efficientnet_b1.ft_in1k,52.969,53.203,53.75,53.307
efficientnet_b1.ra4_e3600_r240_in1k,50.313,51.133,49.062,50.169
efficientnet_b2.ra_in1k,50.391,47.07,50.352,49.271
efficientnet_b3.ra2_in1k,54.336,53.789,52.773,53.633
efficientnet_b4.ra2_in1k,51.406,52.539,52.227,52.057
efficientnet_es.ra_in1k,51.484,52.734,53.75,52.656
efficientnet_es_pruned.in1k,51.328,52.422,51.016,51.589
efficientnet_lite0.ra_in1k,51.328,48.047,53.008,50.794
efficientvit_b2.r256_in1k,52.578,51.836,51.367,51.927
efficientvit_b2.r288_in1k,50.273,50.313,52.305,50.964
efficientvit_b3.r256_in1k,49.883,49.922,49.688,49.831
efficientvit_m1.r224_in1k,48.906,51.797,49.102,49.935
eva02_base_patch14_448.mim_in22k_ft_in1k,49.727,51.367,48.516,49.87
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,54.57,51.016,49.961,51.849
eva02_large_patch14_448.mim_in22k_ft_in1k,54.062,51.719,52.773,52.851
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,54.688,52.93,52.734,53.451
eva02_large_patch14_448.mim_m38m_ft_in1k,51.406,51.797,52.109,51.771
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,54.648,55.234,55.312,55.065
eva02_small_patch14_336.mim_in22k_ft_in1k,49.531,48.945,50.352,49.609
eva_giant_patch14_560.m30m_ft_in22k_in1k,50.977,51.211,50.313,50.834
eva_large_patch14_196.in22k_ft_in1k,50.0,50.742,51.484,50.742
eva_large_patch14_196.in22k_ft_in22k_in1k,50.859,52.5,52.578,51.979
eva_large_patch14_336.in22k_ft_in1k,52.539,50.469,50.898,51.302
eva_large_patch14_336.in22k_ft_in22k_in1k,51.953,52.07,52.227,52.083
fasternet_t2.in1k,52.773,52.617,54.336,53.242
fastvit_sa36.apple_dist_in1k,52.422,51.523,53.945,52.63
fastvit_t8.apple_dist_in1k,51.328,51.68,53.438,52.149
focalnet_base_lrf.ms_in1k,50.391,50.313,50.898,50.534
focalnet_base_srf.ms_in1k,50.898,50.117,51.211,50.742
focalnet_small_lrf.ms_in1k,52.773,51.68,52.617,52.357
focalnet_small_srf.ms_in1k,49.727,51.797,52.734,51.419
focalnet_tiny_lrf.ms_in1k,52.578,50.703,50.664,51.315
focalnet_tiny_srf.ms_in1k,50.117,54.648,51.25,52.005
ghostnet_100.in1k,50.43,50.313,51.719,50.821
ghostnetv2_100.in1k,51.992,50.938,49.18,50.703
ghostnetv2_130.in1k,50.703,50.352,53.711,51.589
hardcorenas_b.miil_green_in1k,49.062,51.016,51.562,50.547
hardcorenas_f.miil_green_in1k,53.125,49.688,48.047,50.287
